TOPIC	ITERATION	DOCUMENT	RELEVANCY
352_title	0	FT911-563	1
352_title	0	FT911-3241	1
352_title	0	FT911-2621	1
352_title	0	FT911-125	1
352_title	0	FT911-3938	1
352_title	0	FT911-3727	1
352_title	0	FT911-5353	1
352_title	0	FT911-182	1
352_title	0	FT911-1062	1
352_title	0	FT911-4816	1
352_title	0	FT911-4381	1
352_title	0	FT911-3191	1
352_title	0	FT911-3761	1
352_title	0	FT911-281	1
352_title	0	FT911-2616	1
352_title	0	FT911-1712	1
352_title	0	FT911-3259	1
352_title	0	FT911-4067	1
352_title	0	FT911-5245	1
352_title	0	FT911-1067	1
352_title	0	FT911-791	1
352_title	0	FT911-4019	1
352_title	0	FT911-4372	1
352_title	0	FT911-4649	1
352_title	0	FT911-433	1
352_title	0	FT911-2572	1
352_title	0	FT911-1260	1
352_title	0	FT911-3786	1
352_title	0	FT911-4961	1
352_title	0	FT911-2723	1
352_title	0	FT911-533	1
352_title	0	FT911-1222	1
352_title	0	FT911-4784	1
352_title	0	FT911-2387	1
352_title	0	FT911-1065	1
352_title	0	FT911-530	1
352_title	0	FT911-4164	1
352_title	0	FT911-2180	1
352_title	0	FT911-1491	1
352_title	0	FT911-854	1
352_title	0	FT911-3169	1
352_title	0	FT911-4595	1
352_title	0	FT911-1089	1
352_title	0	FT911-3910	1
352_title	0	FT911-5319	1
352_title	0	FT911-4668	1
352_title	0	FT911-2798	1
352_title	0	FT911-3745	1
352_title	0	FT911-4479	1
352_title	0	FT911-3104	1
352_title	0	FT911-664	1
352_title	0	FT911-794	1
352_title	0	FT911-3254	1
352_title	0	FT911-2971	1
352_title	0	FT911-4588	1
352_title	0	FT911-2107	1
352_title	0	FT911-4036	1
352_title	0	FT911-3638	1
352_title	0	FT911-352	1
352_title	0	FT911-95	1
352_title	0	FT911-765	1
352_title	0	FT911-4958	1
352_title	0	FT911-3751	1
352_title	0	FT911-1941	1
352_title	0	FT911-2292	1
352_title	0	FT911-4564	1
352_title	0	FT911-4017	1
352_title	0	FT911-746	1
352_title	0	FT911-870	1
352_title	0	FT911-265	1
352_title	0	FT911-105	1
352_title	0	FT911-982	1
352_title	0	FT911-802	1
352_title	0	FT911-335	1
352_title	0	FT911-277	1
352_title	0	FT911-5246	1
352_title	0	FT911-251	1
352_title	0	FT911-2388	1
352_title	0	FT911-4887	1
352_title	0	FT911-3493	1
352_title	0	FT911-2672	1
352_title	0	FT911-2271	1
352_title	0	FT911-5332	1
352_title	0	FT911-1066	1
352_title	0	FT911-2179	1
352_title	0	FT911-2916	1
352_title	0	FT911-4040	1
352_title	0	FT911-289	1
352_title	0	FT911-4620	1
352_title	0	FT911-4216	1
352_title	0	FT911-1325	1
352_title	0	FT911-3733	1
352_title	0	FT911-3949	1
352_title	0	FT911-3867	1
352_title	0	FT911-1297	1
352_title	0	FT911-1318	1
352_title	0	FT911-1261	1
352_title	0	FT911-5269	1
352_title	0	FT911-419	1
352_title	0	FT911-5074	1
352_title	0	FT911-3491	1
352_title	0	FT911-3302	1
352_title	0	FT911-2763	1
352_title	0	FT911-3975	1
352_title	0	FT911-1198	1
352_title	0	FT911-3372	1
352_title	0	FT911-137	1
352_title	0	FT911-3833	1
352_title	0	FT911-2205	1
352_title	0	FT911-4836	1
352_title	0	FT911-2457	1
352_title	0	FT911-3966	1
352_title	0	FT911-738	1
352_title	0	FT911-1247	1
352_title	0	FT911-341	1
352_title	0	FT911-4786	1
352_title	0	FT911-4841	1
352_title	0	FT911-1374	1
352_title	0	FT911-2528	1
352_title	0	FT911-3718	1
352_title	0	FT911-21	1
352_title	0	FT911-4980	1
352_title	0	FT911-5343	1
352_title	0	FT911-56	1
352_title	0	FT911-1444	1
352_title	0	FT911-992	1
352_title	0	FT911-194	1
352_title	0	FT911-3229	1
352_title	0	FT911-4043	1
352_title	0	FT911-1400	1
352_title	0	FT911-663	1
352_title	0	FT911-2060	1
352_title	0	FT911-3367	1
352_title	0	FT911-4944	1
352_title	0	FT911-3525	1
352_title	0	FT911-1615	1
352_title	0	FT911-1407	1
352_title	0	FT911-1275	1
352_title	0	FT911-1689	1
352_title	0	FT911-736	1
352_title	0	FT911-2835	1
352_title	0	FT911-2468	1
352_title	0	FT911-4317	1
352_title	0	FT911-5248	1
352_title	0	FT911-131	1
352_title	0	FT911-5077	1
352_title	0	FT911-3850	1
352_title	0	FT911-4261	1
352_title	0	FT911-2334	1
352_title	0	FT911-4778	1
352_title	0	FT911-2652	1
352_title	0	FT911-3785	1
352_title	0	FT911-4095	1
352_title	0	FT911-46	1
352_title	0	FT911-3978	1
352_title	0	FT911-4066	1
352_title	0	FT911-4970	1
352_title	0	FT911-2423	1
352_title	0	FT911-902	1
352_title	0	FT911-924	1
352_title	0	FT911-2618	1
352_title	0	FT911-3194	1
352_title	0	FT911-4949	1
352_title	0	FT911-3581	1
352_title	0	FT911-968	1
352_title	0	FT911-3956	1
352_title	0	FT911-4748	1
352_title	0	FT911-3713	1
352_title	0	FT911-3645	1
352_title	0	FT911-1518	1
352_title	0	FT911-2183	1
352_title	0	FT911-3929	1
352_title	0	FT911-4559	1
352_title	0	FT911-1760	1
352_title	0	FT911-60	1
352_title	0	FT911-3746	1
352_title	0	FT911-1694	1
352_title	0	FT911-5270	1
352_title	0	FT911-3783	1
352_title	0	FT911-4385	1
352_title	0	FT911-2639	1
352_title	0	FT911-3438	1
352_title	0	FT911-2114	1
352_title	0	FT911-1869	1
352_title	0	FT911-2415	1
352_title	0	FT911-3332	1
352_title	0	FT911-4962	1
352_title	0	FT911-1124	1
352_title	0	FT911-4519	1
352_title	0	FT911-4951	1
352_title	0	FT911-1651	1
352_title	0	FT911-3731	1
352_title	0	FT911-1863	1
352_title	0	FT911-3895	1
352_title	0	FT911-253	1
352_title	0	FT911-1587	1
352_title	0	FT911-5295	1
352_title	0	FT911-2048	1
352_title	0	FT911-4637	1
352_title	0	FT911-2843	1
352_title	0	FT911-1919	1
352_title	0	FT911-842	1
352_title	0	FT911-2066	1
352_title	0	FT911-4942	1
352_title	0	FT911-3527	1
352_title	0	FT911-2853	1
352_title	0	FT911-435	1
352_title	0	FT911-1135	1
352_title	0	FT911-1438	1
352_title	0	FT911-4860	1
352_title	0	FT911-3661	1
352_title	0	FT911-84	1
352_title	0	FT911-3288	1
352_title	0	FT911-3233	1
352_title	0	FT911-274	1
352_title	0	FT911-510	1
352_title	0	FT911-5015	1
352_title	0	FT911-1114	1
352_title	0	FT911-4048	1
352_title	0	FT911-3976	1
352_title	0	FT911-5221	1
352_title	0	FT911-53	1
352_title	0	FT911-4202	1
352_title	0	FT911-3936	1
352_title	0	FT911-5186	1
352_title	0	FT911-2741	1
352_title	0	FT911-4986	1
352_title	0	FT911-2991	1
352_title	0	FT911-5345	1
352_title	0	FT911-2742	1
352_title	0	FT911-3410	1
352_title	0	FT911-4571	1
352_title	0	FT911-613	1
352_title	0	FT911-4856	1
352_title	0	FT911-42	1
352_title	0	FT911-859	1
352_title	0	FT911-3441	1
352_title	0	FT911-853	1
352_title	0	FT911-3006	1
352_title	0	FT911-1566	1
352_title	0	FT911-1427	1
352_title	0	FT911-2699	1
352_title	0	FT911-3542	1
352_title	0	FT911-4469	1
352_title	0	FT911-3109	1
352_title	0	FT911-4735	1
352_title	0	FT911-520	1
352_title	0	FT911-5143	1
352_title	0	FT911-2942	1
352_title	0	FT911-1003	1
352_title	0	FT911-1790	1
352_title	0	FT911-3168	1
352_title	0	FT911-3050	1
352_title	0	FT911-4225	1
352_title	0	FT911-4132	1
352_title	0	FT911-808	1
352_title	0	FT911-1675	1
352_title	0	FT911-2131	1
352_title	0	FT911-2032	1
352_title	0	FT911-682	1
352_title	0	FT911-2166	1
352_title	0	FT911-2279	1
352_title	0	FT911-3960	1
352_title	0	FT911-2700	1
352_title	0	FT911-1148	1
352_title	0	FT911-3968	1
352_title	0	FT911-1490	1
352_title	0	FT911-4103	1
352_title	0	FT911-4518	1
352_title	0	FT911-2654	1
352_title	0	FT911-1378	1
352_title	0	FT911-5058	1
352_title	0	FT911-2617	1
352_title	0	FT911-4172	1
352_title	0	FT911-241	1
352_title	0	FT911-2284	1
352_title	0	FT911-4937	1
352_title	0	FT911-5178	1
352_title	0	FT911-2648	1
352_title	0	FT911-5261	1
352_title	0	FT911-1595	1
352_title	0	FT911-3494	1
352_title	0	FT911-3165	1
352_title	0	FT911-658	1
352_title	0	FT911-614	1
352_title	0	FT911-2373	1
352_title	0	FT911-4903	1
352_title	0	FT911-2970	1
352_title	0	FT911-4947	1
352_title	0	FT911-3373	1
352_title	0	FT911-821	1
352_title	0	FT911-2273	1
352_title	0	FT911-5340	1
352_title	0	FT911-2126	1
352_title	0	FT911-4799	1
352_title	0	FT911-1078	1
352_title	0	FT911-2570	1
352_title	0	FT911-4928	1
352_title	0	FT911-2602	1
352_title	0	FT911-2518	1
352_title	0	FT911-75	1
352_title	0	FT911-1695	1
352_title	0	FT911-804	1
352_title	0	FT911-753	1
352_title	0	FT911-654	1
352_title	0	FT911-5265	1
352_title	0	FT911-3437	1
352_title	0	FT911-750	1
352_title	0	FT911-872	1
352_title	0	FT911-4251	1
352_title	0	FT911-3354	1
352_title	0	FT911-2801	1
352_title	0	FT911-2380	1
352_title	0	FT911-499	1
352_title	0	FT911-2551	1
352_title	0	FT911-5053	1
352_title	0	FT911-307	1
352_title	0	FT911-481	1
352_title	0	FT911-3385	1
352_title	0	FT911-256	1
352_title	0	FT911-2206	1
352_title	0	FT911-5273	1
352_title	0	FT911-284	1
352_title	0	FT911-2395	1
352_title	0	FT911-1372	1
352_title	0	FT911-2087	1
352_title	0	FT911-3164	1
352_title	0	FT911-1496	1
352_title	0	FT911-477	1
352_title	0	FT911-3280	1
352_title	0	FT911-369	1
352_title	0	FT911-4114	1
352_title	0	FT911-366	1
352_title	0	FT911-2270	1
352_title	0	FT911-3371	1
352_title	0	FT911-1671	1
352_title	0	FT911-1373	1
352_title	0	FT911-2772	1
352_title	0	FT911-5180	1
352_title	0	FT911-2951	1
352_title	0	FT911-1192	1
352_title	0	FT911-1481	1
352_title	0	FT911-3312	1
352_title	0	FT911-2484	1
352_title	0	FT911-1845	1
352_title	0	FT911-4642	1
352_title	0	FT911-2375	1
352_title	0	FT911-2349	1
352_title	0	FT911-619	1
352_title	0	FT911-255	1
352_title	0	FT911-2657	1
352_title	0	FT911-2125	1
352_title	0	FT911-495	1
352_title	0	FT911-3038	1
352_title	0	FT911-4129	1
352_title	0	FT911-4163	1
352_title	0	FT911-1201	1
352_title	0	FT911-1370	1
352_title	0	FT911-374	1
352_title	0	FT911-5352	1
352_title	0	FT911-5069	1
352_title	0	FT911-1581	1
352_title	0	FT911-2864	1
352_title	0	FT911-2693	1
352_title	0	FT911-4946	1
352_title	0	FT911-3100	1
352_title	0	FT911-2164	1
352_title	0	FT911-2152	1
352_title	0	FT911-5323	1
352_title	0	FT911-500	1
352_title	0	FT911-1774	1
352_title	0	FT911-1437	1
352_title	0	FT911-5349	1
352_title	0	FT911-346	1
352_title	0	FT911-1617	1
352_title	0	FT911-4207	1
352_title	0	FT911-3009	1
352_title	0	FT911-3595	1
352_title	0	FT911-473	1
352_title	0	FT911-4889	1
352_title	0	FT911-828	1
352_title	0	FT911-1091	1
352_title	0	FT911-3510	1
352_title	0	FT911-1664	1
352_title	0	FT911-3134	1
352_title	0	FT911-3864	1
352_title	0	FT911-4177	1
352_title	0	FT911-5188	1
352_title	0	FT911-2082	1
352_title	0	FT911-4057	1
352_title	0	FT911-4344	1
352_title	0	FT911-760	1
352_title	0	FT911-3948	1
352_title	0	FT911-4003	1
352_title	0	FT911-134	1
352_title	0	FT911-5054	1
352_title	0	FT911-3951	1
352_title	0	FT911-3095	1
352_title	0	FT911-1964	1
352_title	0	FT911-537	1
352_title	0	FT911-3921	1
352_title	0	FT911-3024	1
352_title	0	FT911-2062	1
352_title	0	FT911-800	1
352_title	0	FT911-2015	1
352_title	0	FT911-1614	1
352_title	0	FT911-3152	1
352_title	0	FT911-2459	1
352_title	0	FT911-133	1
352_title	0	FT911-1934	1
352_title	0	FT911-3972	1
352_title	0	FT911-624	1
352_title	0	FT911-1104	1
352_title	0	FT911-2722	1
352_title	0	FT911-660	1
352_title	0	FT911-1002	1
352_title	0	FT911-2750	1
352_title	0	FT911-875	1
352_title	0	FT911-3562	1
352_title	0	FT911-5196	1
352_title	0	FT911-4195	1
352_title	0	FT911-3973	1
352_title	0	FT911-1553	1
352_title	0	FT911-3462	1
352_title	0	FT911-55	1
352_title	0	FT911-4734	1
352_title	0	FT911-97	1
352_title	0	FT911-2669	1
352_title	0	FT911-4310	1
352_title	0	FT911-632	1
352_title	0	FT911-2196	1
352_title	0	FT911-4192	1
352_title	0	FT911-3724	1
352_title	0	FT911-3459	1
352_title	0	FT911-4835	1
352_title	0	FT911-606	1
352_title	0	FT911-3446	1
352_title	0	FT911-2552	1
352_title	0	FT911-1230	1
352_title	0	FT911-5101	1
352_title	0	FT911-1879	1
352_title	0	FT911-4380	1
352_title	0	FT911-3243	1
352_title	0	FT911-4859	1
352_title	0	FT911-2520	1
352_title	0	FT911-2785	1
352_title	0	FT911-661	1
352_title	0	FT911-1691	1
352_title	0	FT911-3981	1
352_title	0	FT911-4599	1
352_title	0	FT911-3369	1
352_title	0	FT911-4386	1
352_title	0	FT911-3253	1
352_title	0	FT911-847	1
352_title	0	FT911-377	1
352_title	0	FT911-3344	1
352_title	0	FT911-4176	1
352_title	0	FT911-1266	1
352_title	0	FT911-5033	1
352_title	0	FT911-2660	1
352_title	0	FT911-4352	1
352_title	0	FT911-1868	1
352_title	0	FT911-1682	1
352_title	0	FT911-2650	1
352_title	0	FT911-3887	1
352_title	0	FT911-3546	1
352_title	0	FT911-5091	1
352_title	0	FT911-458	1
352_title	0	FT911-4858	1
352_title	0	FT911-4888	1
352_title	0	FT911-4531	1
352_title	0	FT911-3322	1
352_title	0	FT911-2720	1
352_title	0	FT911-925	1
352_title	0	FT911-601	1
352_title	0	FT911-2042	1
352_title	0	FT911-3985	1
352_title	0	FT911-1353	1
352_title	0	FT911-3289	1
352_title	0	FT911-1043	1
352_title	0	FT911-348	1
352_title	0	FT911-5278	1
352_title	0	FT911-1652	1
352_title	0	FT911-1210	1
352_title	0	FT911-1337	1
352_title	0	FT911-3977	1
352_title	0	FT911-3458	1
352_title	0	FT911-584	1
352_title	0	FT911-3868	1
352_title	0	FT911-1134	1
352_title	0	FT911-1418	1
352_title	0	FT911-1885	1
352_title	0	FT911-4601	1
352_title	0	FT911-4223	1
352_title	0	FT911-4589	1
352_title	0	FT911-4059	1
352_title	0	FT911-4776	1
352_title	0	FT911-655	1
352_title	0	FT911-2645	1
352_title	0	FT911-3758	1
352_title	0	FT911-3692	1
352_title	0	FT911-2460	1
352_title	0	FT911-3276	1
352_title	0	FT911-2936	1
352_title	0	FT911-5076	1
352_title	0	FT911-4112	1
352_title	0	FT911-1223	1
352_title	0	FT911-976	1
352_title	0	FT911-2218	1
352_title	0	FT911-208	1
352_title	0	FT911-213	1
352_title	0	FT911-608	1
352_title	0	FT911-2796	1
352_title	0	FT911-1218	1
352_title	0	FT911-389	1
352_title	0	FT911-2391	1
352_title	0	FT911-2866	1
352_title	0	FT911-1804	1
352_title	0	FT911-4383	1
352_title	0	FT911-2223	1
352_title	0	FT911-3379	1
352_title	0	FT911-2858	1
352_title	0	FT911-2028	1
352_title	0	FT911-2260	1
352_title	0	FT911-1098	1
352_title	0	FT911-3017	1
352_title	0	FT911-115	1
352_title	0	FT911-2954	1
352_title	0	FT911-4060	1
352_title	0	FT911-3249	1
352_title	0	FT911-4239	1
352_title	0	FT911-1200	1
352_title	0	FT911-2896	1
352_title	0	FT911-400	1
352_title	0	FT911-1634	1
352_title	0	FT911-54	1
352_title	0	FT911-4118	1
352_title	0	FT911-2949	1
352_title	0	FT911-1663	1
352_title	0	FT911-2185	1
352_title	0	FT911-1482	1
352_title	0	FT911-3606	1
352_title	0	FT911-2144	1
352_title	0	FT911-2197	1
352_title	0	FT911-4092	1
352_title	0	FT911-1944	1
352_title	0	FT911-4016	1
352_title	0	FT911-3509	1
352_title	0	FT911-2711	1
352_title	0	FT911-5080	1
352_title	0	FT911-3144	1
352_title	0	FT911-1492	1
352_title	0	FT911-141	1
352_title	0	FT911-5185	1
352_title	0	FT911-397	1
352_title	0	FT911-48	1
352_title	0	FT911-4640	1
352_title	0	FT911-1207	1
352_title	0	FT911-1943	1
352_title	0	FT911-798	1
352_title	0	FT911-371	1
352_title	0	FT911-5342	1
352_title	0	FT911-4315	1
352_title	0	FT911-1575	1
352_title	0	FT911-3891	1
352_title	0	FT911-4582	1
352_title	0	FT911-5239	1
352_title	0	FT911-4258	1
352_title	0	FT911-4638	1
352_title	0	FT911-2371	1
352_title	0	FT911-932	1
352_title	0	FT911-1771	1
352_title	0	FT911-490	1
352_title	0	FT911-3642	1
352_title	0	FT911-2473	1
352_title	0	FT911-766	1
352_title	0	FT911-4747	1
352_title	0	FT911-5130	1
352_title	0	FT911-2029	1
352_title	0	FT911-1199	1
352_title	0	FT911-1315	1
352_title	0	FT911-1550	1
352_title	0	FT911-1539	1
352_title	0	FT911-78	1
352_title	0	FT911-401	1
352_title	0	FT911-2519	1
352_title	0	FT911-994	1
352_title	0	FT911-4076	1
352_title	0	FT911-5275	1
352_title	0	FT911-3607	1
352_title	0	FT911-788	1
352_title	0	FT911-252	1
352_title	0	FT911-4723	1
352_title	0	FT911-2376	1
352_title	0	FT911-2800	1
352_title	0	FT911-3361	1
352_title	0	FT911-2996	1
352_title	0	FT911-5156	1
352_title	0	FT911-1573	1
352_title	0	FT911-4127	1
352_title	0	FT911-2774	1
352_title	0	FT911-2041	1
352_title	0	FT911-2286	1
352_title	0	FT911-3545	1
352_title	0	FT911-585	1
352_title	0	FT911-2343	1
352_title	0	FT911-2952	1
352_title	0	FT911-1882	1
352_title	0	FT911-2915	1
352_title	0	FT911-3986	1
352_title	0	FT911-2956	1
352_title	0	FT911-2568	1
352_title	0	FT911-3739	1
352_title	0	FT911-3159	1
352_title	0	FT911-4104	1
352_title	0	FT911-4366	1
352_title	0	FT911-5357	1
352_title	0	FT911-1880	1
352_title	0	FT911-3230	1
352_title	0	FT911-5337	1
352_title	0	FT911-4720	1
352_title	0	FT911-4397	1
352_title	0	FT911-5160	1
352_title	0	FT911-1912	1
352_title	0	FT911-1079	1
352_title	0	FT911-4711	1
352_title	0	FT911-285	1
352_title	0	FT911-1314	1
352_title	0	FT911-3796	1
352_title	0	FT911-3726	1
352_title	0	FT911-4862	1
352_title	0	FT911-381	1
352_title	0	FT911-2521	1
352_title	0	FT911-1653	1
352_title	0	FT911-2661	1
352_title	0	FT911-3643	1
352_title	0	FT911-5049	1
352_title	0	FT911-4612	1
352_title	0	FT911-2981	1
352_title	0	FT911-3531	1
352_title	0	FT911-1715	1
352_title	0	FT911-4520	1
352_title	0	FT911-4189	1
352_title	0	FT911-3236	1
352_title	0	FT911-5177	1
352_title	0	FT911-5191	1
352_title	0	FT911-273	1
352_title	0	FT911-1781	1
352_title	0	FT911-2244	1
352_title	0	FT911-679	1
352_title	0	FT911-379	1
352_title	0	FT911-845	1
352_title	0	FT911-199	1
352_title	0	FT911-1077	1
352_title	0	FT911-2989	1
352_title	0	FT911-4744	1
