TOPIC	DOCUMENT	UNIQUE#	COSINE_VALUE
352_title	FT911-1374	403	0.02657565313936748
352_title	FT911-2528	404	0.02656022260077239
352_title	FT911-3718	405	0.026506007828589657
352_title	FT911-21	406	0.026416071601188695
352_title	FT911-4980	407	0.02641070864032434
352_title	FT911-5343	408	0.02635622025232365
352_title	FT911-56	409	0.026318666401479018
352_title	FT911-1444	410	0.026299683204556733
352_title	FT911-992	411	0.026258190700347506
352_title	FT911-194	412	0.02614565205746154
352_title	FT911-3229	413	0.026113324448407752
352_title	FT911-4043	414	0.02599892845223854
352_title	FT911-1400	415	0.02595650649082427
352_title	FT911-663	416	0.025943136380350163
352_title	FT911-2060	417	0.02590851564485844
352_title	FT911-3367	418	0.02587885755472404
352_title	FT911-4944	419	0.025837178111792678
352_title	FT911-3525	420	0.02581006021251961
352_title	FT911-1615	421	0.02580210648086528
352_title	FT911-1407	422	0.025797892222686903
352_title	FT911-1275	423	0.025762419940043024
352_title	FT911-1689	424	0.025729782068368776
352_title	FT911-736	425	0.02562640592564601
352_title	FT911-2835	426	0.025557254981709708
352_title	FT911-2468	427	0.025519384959413072
352_title	FT911-4317	428	0.025473548362657635
352_title	FT911-5248	429	0.025460127581801828
352_title	FT911-131	430	0.025253477594646807
352_title	FT911-5077	431	0.02521838659164039
352_title	FT911-3850	432	0.025214871470262103
352_title	FT911-4261	433	0.02512356189234909
352_title	FT911-2334	434	0.025097741062690793
352_title	FT911-4778	435	0.02507981456848777
352_title	FT911-2652	436	0.025068990972884668
352_title	FT911-3785	437	0.025054400096671578
352_title	FT911-4095	438	0.025046948259660893
352_title	FT911-46	439	0.025006103554528623
352_title	FT911-3978	440	0.024967850658643223
352_title	FT911-4066	441	0.02493321537245342
352_title	FT911-4970	442	0.024864325020126404
352_title	FT911-2423	443	0.02477137442515837
352_title	FT911-902	444	0.02476647857429206
352_title	FT911-924	445	0.02472776163953794
352_title	FT911-2618	446	0.024678044722467245
352_title	FT911-3194	447	0.02466499494640242
352_title	FT911-4949	448	0.024641178324015505
352_title	FT911-3581	449	0.024608100546826783
352_title	FT911-968	450	0.024428345039953756
352_title	FT911-3956	451	0.024350838045991197
352_title	FT911-4748	452	0.024345706632466865
352_title	FT911-3713	453	0.024338987597820296
352_title	FT911-3645	454	0.02432641352052798
352_title	FT911-1518	455	0.024270605029209327
352_title	FT911-2183	456	0.024184561480606676
352_title	FT911-3929	457	0.02411045147036849
352_title	FT911-4559	458	0.024055136177738166
352_title	FT911-1760	459	0.024036194214259742
352_title	FT911-60	460	0.024032860949935436
352_title	FT911-3746	461	0.02400837174476409
352_title	FT911-1694	462	0.02398155430930737
352_title	FT911-5270	463	0.023936296926336514
352_title	FT911-3783	464	0.023932913123382638
352_title	FT911-4385	465	0.02380499581276772
352_title	FT911-2639	466	0.02359490628472935
352_title	FT911-3438	467	0.02357889401138302
352_title	FT911-2114	468	0.023559600148822506
352_title	FT911-1869	469	0.02355199034279063
352_title	FT911-2415	470	0.023487309777157246
352_title	FT911-3332	471	0.023465435462819338
352_title	FT911-4962	472	0.023454561207725568
352_title	FT911-1124	473	0.023421780929048584
352_title	FT911-4519	474	0.023400945431806604
352_title	FT911-4951	475	0.0233981402271944
352_title	FT911-1651	476	0.023392253159605334
352_title	FT911-3731	477	0.02332826812155258
352_title	FT911-1863	478	0.023313020208234024
352_title	FT911-3895	479	0.023312434627376498
352_title	FT911-253	480	0.023295603732315717
352_title	FT911-1587	481	0.023284477421232398
352_title	FT911-5295	482	0.023273586075073186
352_title	FT911-2048	483	0.023213229419860544
352_title	FT911-4637	484	0.023193583467379965
352_title	FT911-2843	485	0.02317922245350321
352_title	FT911-1919	486	0.023160309400621228
352_title	FT911-842	487	0.023153950018852103
352_title	FT911-2066	488	0.02305400590932966
352_title	FT911-4942	489	0.023050622451058354
352_title	FT911-3527	490	0.023017463138019906
352_title	FT911-2853	491	0.022970161225790483
352_title	FT911-435	492	0.02290851502908891
352_title	FT911-1135	493	0.02283883709910638
352_title	FT911-1438	494	0.02283564147461485
352_title	FT911-4860	495	0.022820590692807317
352_title	FT911-3661	496	0.022806801214047386
352_title	FT911-84	497	0.02280047336779573
352_title	FT911-3288	498	0.022785635471835156
352_title	FT911-3233	499	0.02274562895064273
352_title	FT911-274	500	0.02269804266350765
352_title	FT911-510	501	0.02267327956363221
352_title	FT911-5015	502	0.022663132725136155
352_title	FT911-1114	503	0.02256463733608669
352_title	FT911-4048	504	0.02243283317619006
352_title	FT911-3976	505	0.02239593684708611
352_title	FT911-5221	506	0.022392927979010005
352_title	FT911-53	507	0.02236187853405101
352_title	FT911-4202	508	0.022361452378548623
352_title	FT911-3936	509	0.022347748790290178
352_title	FT911-5186	510	0.02230495765482907
352_title	FT911-2741	511	0.022245815308974272
352_title	FT911-4986	512	0.022158931983313156
352_title	FT911-2991	513	0.022147171116326046
352_title	FT911-5345	514	0.022131258235428865
352_title	FT911-2742	515	0.02203589144980711
352_title	FT911-3410	516	0.021940786706883847
352_title	FT911-4571	517	0.021831161679921728
352_title	FT911-613	518	0.021798657270282743
352_title	FT911-4856	519	0.02178704874157661
352_title	FT911-42	520	0.02173196403857734
352_title	FT911-859	521	0.021663452531133612
352_title	FT911-3441	522	0.021584303391032577
352_title	FT911-853	523	0.02154116506188899
352_title	FT911-3006	524	0.021470723143600573
352_title	FT911-1566	525	0.02142777221767391
352_title	FT911-1427	526	0.021409794054542967
352_title	FT911-2699	527	0.021407438301397335
352_title	FT911-3542	528	0.021403633279277308
352_title	FT911-4469	529	0.021337377664201167
352_title	FT911-3109	530	0.021266768146301716
352_title	FT911-4735	531	0.021196686234181937
352_title	FT911-520	532	0.02115290986299588
352_title	FT911-5143	533	0.021145442418916405
352_title	FT911-2942	534	0.02105172220456642
352_title	FT911-1003	535	0.02098978604629959
352_title	FT911-1790	536	0.020948917665659247
352_title	FT911-3168	537	0.02089472248001818
352_title	FT911-3050	538	0.020858688500974925
352_title	FT911-4225	539	0.02085428168180736
352_title	FT911-4132	540	0.02075511334674427
352_title	FT911-808	541	0.020749232620775892
352_title	FT911-1675	542	0.020716959562648744
352_title	FT911-2131	543	0.02069135439864551
352_title	FT911-2032	544	0.02067140303296381
352_title	FT911-682	545	0.02063406726611962
352_title	FT911-2166	546	0.02047314987499345
352_title	FT911-2279	547	0.0204357137884649
352_title	FT911-3960	548	0.02043081368927234
352_title	FT911-2700	549	0.02040356535727038
352_title	FT911-1148	550	0.020322408051454532
352_title	FT911-3968	551	0.020272508562230816
352_title	FT911-1490	552	0.020268002874172818
352_title	FT911-4103	553	0.020265266900916654
352_title	FT911-4518	554	0.02022469668087446
352_title	FT911-2654	555	0.02021763123194169
352_title	FT911-1378	556	0.020212042280363714
352_title	FT911-5058	557	0.020151689661256536
352_title	FT911-2617	558	0.020149453401651748
352_title	FT911-4172	559	0.020135919049806845
352_title	FT911-241	560	0.020106645491027777
352_title	FT911-2284	561	0.020009181008413483
352_title	FT911-4937	562	0.019982424705072523
352_title	FT911-5178	563	0.01993687380297632
352_title	FT911-2648	564	0.01991609690940216
352_title	FT911-5261	565	0.01987529107450369
352_title	FT911-1595	566	0.019863712149695376
352_title	FT911-3494	567	0.019834588410873957
352_title	FT911-3165	568	0.019803432494379533
352_title	FT911-658	569	0.01976215446152855
352_title	FT911-614	570	0.019758882281406428
352_title	FT911-2373	571	0.019749206281424767
352_title	FT911-4903	572	0.01972343323324237
352_title	FT911-2970	573	0.019698653742503704
352_title	FT911-4947	574	0.019696163426978986
352_title	FT911-3373	575	0.019692640635749825
352_title	FT911-821	576	0.019655483743892588
352_title	FT911-2273	577	0.019581010982759283
352_title	FT911-5340	578	0.019547157969978596
352_title	FT911-2126	579	0.01950214019057973
352_title	FT911-4799	580	0.019498299359150494
352_title	FT911-1078	581	0.019496480425520588
352_title	FT911-2570	582	0.01941018845110172
352_title	FT911-4928	583	0.019366010662898434
352_title	FT911-2602	584	0.0193318713715835
352_title	FT911-2518	585	0.019287671473505054
352_title	FT911-75	586	0.019270582251944
352_title	FT911-1695	587	0.019224270822918187
352_title	FT911-804	588	0.019172235704591447
352_title	FT911-753	589	0.01916086308782662
352_title	FT911-654	590	0.019158661491132795
352_title	FT911-5265	591	0.0191430829591096
352_title	FT911-3437	592	0.01914137610528778
352_title	FT911-750	593	0.01910172294250569
352_title	FT911-872	594	0.019088836138565317
352_title	FT911-4251	595	0.018896444646165637
352_title	FT911-3354	596	0.018839010760072203
352_title	FT911-2801	597	0.018778955834387746
352_title	FT911-2380	598	0.01875552058547396
352_title	FT911-499	599	0.018722272357381987
352_title	FT911-2551	600	0.01871620786542359
352_title	FT911-5053	601	0.018674344958468894
352_title	FT911-307	602	0.018668538404429846
352_title	FT911-481	603	0.01861938333323923
352_title	FT911-3385	604	0.01859199647920022
352_title	FT911-256	605	0.018582205536699304
352_title	FT911-2206	606	0.018533459999365415
352_title	FT911-5273	607	0.018510618099017183
352_title	FT911-284	608	0.018500766370078775
352_title	FT911-2395	609	0.018472481962885843
352_title	FT911-1372	610	0.018469140609476752
352_title	FT911-2087	611	0.01845866459010978
352_title	FT911-3164	612	0.01844653946349194
352_title	FT911-1496	613	0.018441787282433685
352_title	FT911-477	614	0.018407645072355212
352_title	FT911-3280	615	0.018404200941995887
352_title	FT911-369	616	0.01840123771223449
352_title	FT911-4114	617	0.018383722710233683
352_title	FT911-366	618	0.01837409660757221
352_title	FT911-2270	619	0.018352637579981658
352_title	FT911-3371	620	0.018329099186885984
352_title	FT911-1671	621	0.0183184879455314
352_title	FT911-1373	622	0.018300041798887348
352_title	FT911-2772	623	0.018292849010537963
352_title	FT911-5180	624	0.018282462864920548
352_title	FT911-2951	625	0.01827491471264036
352_title	FT911-1192	626	0.018226871187339625
352_title	FT911-1481	627	0.018215609238619004
352_title	FT911-3312	628	0.01817444426316725
352_title	FT911-2484	629	0.018006841993285515
352_title	FT911-1845	630	0.017975719160348357
352_title	FT911-4642	631	0.017950194920306504
352_title	FT911-2375	632	0.01793161017121496
352_title	FT911-2349	633	0.01780350420686845
352_title	FT911-619	634	0.017706091643131167
352_title	FT911-255	635	0.0176636703496197
352_title	FT911-2657	636	0.01762990993403931
352_title	FT911-2125	637	0.017604494249178374
352_title	FT911-495	638	0.017584840293703538
352_title	FT911-3038	639	0.017548313308005742
